"DATE","DESCRIPTION","TYPE OF MOVEMENT","VALUE"
"06/04/2026 15:34:01","Loan","EXPENSE","20000.0"
"06/04/2026 15:34:01","fin","EXPENSE","20000.0"
"06/04/2026 15:36:24","inicio","INCOME","50000.0"
"06/04/2026 15:36:24","Loan","EXPENSE","20000.0"
"06/04/2026 15:36:24","Loan","EXPENSE","20000.0"
"06/04/2026 15:36:24","Loan","EXPENSE","20000.0"
"06/04/2026 15:36:24","Loan","EXPENSE","20000.0"
"06/04/2026 15:36:24","Loan","EXPENSE","20000.0"
"06/04/2026 15:36:24","Loan","EXPENSE","20000.0"
"06/04/2026 15:36:24","Loan","EXPENSE","20000.0"
"06/04/2026 15:36:24","Loan","EXPENSE","20000.0"
"06/04/2026 15:36:24","Loan","EXPENSE","20000.0"
"06/04/2026 15:36:24","Loan","EXPENSE","20000.0"
"06/04/2026 15:36:24","Loan","EXPENSE","20000.0"
"06/04/2026 15:36:24","Loan","EXPENSE","20000.0"
"06/04/2026 15:36:24","Loan","EXPENSE","20000.0"
"06/04/2026 15:36:24","fin","EXPENSE","20000.0"
"06/04/2026 15:41:54","inicio","INCOME","50000.0"
"06/04/2026 15:41:54","Loan","EXPENSE","20000.0"
"06/04/2026 15:41:54","Loan","EXPENSE","20000.0"
"06/04/2026 15:41:54","Loan","EXPENSE","20000.0"
"06/04/2026 15:41:54","Loan","EXPENSE","20000.0"
"06/04/2026 15:41:54","Loan","EXPENSE","20000.0"
"06/04/2026 15:41:54","Loan","EXPENSE","20000.0"
"06/04/2026 15:41:54","Loan","EXPENSE","20000.0"
"06/04/2026 15:41:54","Loan","EXPENSE","20000.0"
"06/04/2026 15:41:54","Loan","EXPENSE","20000.0"
"06/04/2026 15:41:54","Loan","EXPENSE","20000.0"
"06/04/2026 15:41:54","Loan","EXPENSE","20000.0"
"06/04/2026 15:41:54","Loan","EXPENSE","20000.0"
"06/04/2026 15:41:54","Loan","EXPENSE","20000.0"
"06/04/2026 15:41:54","fin","EXPENSE","20000.0"
"06/04/2026 15:43:46","inicio","INCOME","50000.0"
"06/04/2026 15:43:47","Loan","EXPENSE","20000.0"
"06/04/2026 15:43:47","Loan","EXPENSE","20000.0"
"06/04/2026 15:43:47","Loan","EXPENSE","20000.0"
"06/04/2026 15:43:47","Loan","EXPENSE","20000.0"
"06/04/2026 15:43:47","Loan","EXPENSE","20000.0"
"06/04/2026 15:43:47","Loan","EXPENSE","20000.0"
"06/04/2026 15:43:47","Loan","EXPENSE","20000.0"
"06/04/2026 15:43:47","Loan","EXPENSE","20000.0"
"06/04/2026 15:43:47","Loan","EXPENSE","20000.0"
"06/04/2026 15:43:47","Loan","EXPENSE","20000.0"
"06/04/2026 15:43:47","Loan","EXPENSE","20000.0"
"06/04/2026 15:43:47","Loan","EXPENSE","20000.0"
"06/04/2026 15:43:47","Loan","EXPENSE","20000.0"
"06/04/2026 15:43:47","fin","EXPENSE","20000.0"
"06/04/2026 15:45:13","inicio","INCOME","50000.0"
"06/04/2026 15:45:13","Loan","EXPENSE","20000.0"
"06/04/2026 15:45:13","Loan","EXPENSE","20000.0"
"06/04/2026 15:45:13","Loan","EXPENSE","20000.0"
"06/04/2026 15:45:13","Loan","EXPENSE","20000.0"
"06/04/2026 15:45:13","Loan","EXPENSE","20000.0"
"06/04/2026 15:45:13","Loan","EXPENSE","20000.0"
"06/04/2026 15:45:13","Loan","EXPENSE","20000.0"
"06/04/2026 15:45:13","Loan","EXPENSE","20000.0"
"06/04/2026 15:45:13","Loan","EXPENSE","20000.0"
"06/04/2026 15:45:13","Loan","EXPENSE","20000.0"
"06/04/2026 15:45:13","Loan","EXPENSE","20000.0"
"06/04/2026 15:45:13","Loan","EXPENSE","20000.0"
"06/04/2026 15:45:13","Loan","EXPENSE","20000.0"
"06/04/2026 15:45:13","fin","EXPENSE","20000.0"
"06/04/2026 15:50:47","inicio","INCOME","50000.0"
"06/04/2026 15:50:47","Loan","EXPENSE","20000.0"
"06/04/2026 15:50:48","Loan","EXPENSE","20000.0"
"06/04/2026 15:50:48","Loan","EXPENSE","20000.0"
"06/04/2026 15:50:48","Loan","EXPENSE","20000.0"
"06/04/2026 15:50:48","Loan","EXPENSE","20000.0"
"06/04/2026 15:50:48","Loan","EXPENSE","20000.0"
"06/04/2026 15:50:48","Loan","EXPENSE","20000.0"
"06/04/2026 15:50:48","Loan","EXPENSE","20000.0"
"06/04/2026 15:50:48","Loan","EXPENSE","20000.0"
"06/04/2026 15:50:48","Loan","EXPENSE","20000.0"
"06/04/2026 15:50:48","Loan","EXPENSE","20000.0"
"06/04/2026 15:50:48","Loan","EXPENSE","20000.0"
"06/04/2026 15:50:48","Loan","EXPENSE","20000.0"
"06/04/2026 15:50:48","fin","EXPENSE","20000.0"
"06/04/2026 16:39:28","inicio","INCOME","50000.0"
"06/04/2026 16:39:28","Loan","EXPENSE","20000.0"
"06/04/2026 16:39:28","Loan","EXPENSE","20000.0"
"06/04/2026 16:39:28","Loan","EXPENSE","20000.0"
"06/04/2026 16:39:28","Loan","EXPENSE","20000.0"
"06/04/2026 16:39:28","Loan","EXPENSE","20000.0"
"06/04/2026 16:39:28","Loan","EXPENSE","20000.0"
"06/04/2026 16:39:28","Loan","EXPENSE","20000.0"
"06/04/2026 16:39:28","Loan","EXPENSE","20000.0"
"06/04/2026 16:39:28","Loan","EXPENSE","20000.0"
"06/04/2026 16:39:28","Loan","EXPENSE","20000.0"
"06/04/2026 16:39:28","Loan","EXPENSE","20000.0"
"06/04/2026 16:39:28","Loan","EXPENSE","20000.0"
"06/04/2026 16:39:28","Loan","EXPENSE","20000.0"
"06/04/2026 16:39:28","fin","EXPENSE","20000.0"
"06/04/2026 16:39:49","inicio","INCOME","50000.0"
"06/04/2026 16:39:49","Loan","EXPENSE","20000.0"
"06/04/2026 16:39:49","Loan","EXPENSE","20000.0"
"06/04/2026 16:39:50","Loan","EXPENSE","20000.0"
"06/04/2026 16:39:50","Loan","EXPENSE","20000.0"
"06/04/2026 16:39:50","Loan","EXPENSE","20000.0"
"06/04/2026 16:39:50","Loan","EXPENSE","20000.0"
"06/04/2026 16:39:50","Loan","EXPENSE","20000.0"
"06/04/2026 16:39:50","Loan","EXPENSE","20000.0"
"06/04/2026 16:39:50","Loan","EXPENSE","20000.0"
"06/04/2026 16:39:50","Loan","EXPENSE","20000.0"
"06/04/2026 16:39:50","Loan","EXPENSE","20000.0"
"06/04/2026 16:39:50","Loan","EXPENSE","20000.0"
"06/04/2026 16:39:50","Loan","EXPENSE","20000.0"
"06/04/2026 16:39:50","fin","EXPENSE","20000.0"
"06/04/2026 16:48:07","inicio","INCOME","50000.0"
"06/04/2026 16:48:07","Loan","EXPENSE","20000.0"
"06/04/2026 16:48:07","Loan","EXPENSE","20000.0"
"06/04/2026 16:48:07","Loan","EXPENSE","20000.0"
"06/04/2026 16:48:07","Loan","EXPENSE","20000.0"
"06/04/2026 16:48:07","Loan","EXPENSE","20000.0"
"06/04/2026 16:48:07","Loan","EXPENSE","20000.0"
"06/04/2026 16:48:07","Loan","EXPENSE","20000.0"
"06/04/2026 16:48:07","Loan","EXPENSE","20000.0"
"06/04/2026 16:48:07","Loan","EXPENSE","20000.0"
"06/04/2026 16:48:07","Loan","EXPENSE","20000.0"
"06/04/2026 16:48:07","Loan","EXPENSE","20000.0"
"06/04/2026 16:48:07","Loan","EXPENSE","20000.0"
"06/04/2026 16:48:07","Loan","EXPENSE","20000.0"
"06/04/2026 16:48:07","fin","EXPENSE","20000.0"
"06/04/2026 17:08:55","inicio","INCOME","50000.0"
"06/04/2026 17:08:55","Loan","EXPENSE","20000.0"
"06/04/2026 17:08:55","Loan","EXPENSE","20000.0"
"06/04/2026 17:08:55","Loan","EXPENSE","20000.0"
"06/04/2026 17:08:55","Loan","EXPENSE","20000.0"
"06/04/2026 17:08:55","Loan","EXPENSE","20000.0"
"06/04/2026 17:08:55","Loan","EXPENSE","20000.0"
"06/04/2026 17:08:55","Loan","EXPENSE","20000.0"
"06/04/2026 17:08:55","Loan","EXPENSE","20000.0"
"06/04/2026 17:08:55","Loan","EXPENSE","20000.0"
"06/04/2026 17:08:55","Loan","EXPENSE","20000.0"
"06/04/2026 17:08:55","Loan","EXPENSE","20000.0"
"06/04/2026 17:08:55","Loan","EXPENSE","20000.0"
"06/04/2026 17:08:55","Loan","EXPENSE","20000.0"
"06/04/2026 17:08:55","fin","EXPENSE","20000.0"
"06/04/2026 17:09:33","inicio","INCOME","50000.0"
"06/04/2026 17:09:33","Loan","EXPENSE","20000.0"
"06/04/2026 17:09:34","Loan","EXPENSE","20000.0"
"06/04/2026 17:09:34","Loan","EXPENSE","20000.0"
"06/04/2026 17:09:34","Loan","EXPENSE","20000.0"
"06/04/2026 17:09:34","Loan","EXPENSE","20000.0"
"06/04/2026 17:09:34","Loan","EXPENSE","20000.0"
"06/04/2026 17:09:34","Loan","EXPENSE","20000.0"
"06/04/2026 17:09:34","Loan","EXPENSE","20000.0"
"06/04/2026 17:09:34","Loan","EXPENSE","20000.0"
"06/04/2026 17:09:34","Loan","EXPENSE","20000.0"
"06/04/2026 17:09:34","Loan","EXPENSE","20000.0"
"06/04/2026 17:09:34","Loan","EXPENSE","20000.0"
"06/04/2026 17:09:34","Loan","EXPENSE","20000.0"
"06/04/2026 17:09:34","fin","EXPENSE","20000.0"
